Cliente;Antena;Sinal(dBm)
Cliente1;Antena1;-53
Cliente1;Antena3;-42
Cliente2;Antena2;-88
Cliente2;Antena1;-64
Cliente2;Antena3;-59
Cliente3;Antena1;-59
Cliente3;Antena3;-58
Cliente4;Antena2;-81
Cliente4;Antena1;-87
Cliente4;Antena3;-80
Cliente5;Antena2;-65
Cliente6;Antena2;-44
Cliente6;Antena1;-82
Cliente7;Antena2;-80
Cliente8;Antena2;-60
Cliente8;Antena3;-84
Cliente9;Antena2;-87
Cliente9;Antena1;-71
Cliente9;Antena3;-51
Cliente10;Antena2;-78
Cliente10;Antena1;-68
Cliente10;Antena3;-66
Cliente11;Antena1;-77
Cliente11;Antena3;-51
Cliente12;Antena2;-92
Cliente12;Antena1;-62
Cliente12;Antena3;-46
Cliente13;Antena4;-42
Cliente13;Antena17;-52
Cliente14;Antena4;-58
Cliente14;Antena17;-66
Cliente15;Antena4;-58
Cliente15;Antena12;-66
Cliente15;Antena18;-73
Cliente15;Antena7;-66
Cliente15;Antena13;-75
Cliente15;Antena17;-65
Cliente16;Antena4;-58
Cliente16;Antena12;-78
Cliente16;Antena18;-81
Cliente16;Antena6;-79
Cliente16;Antena17;-64
Cliente17;Antena12;-84
Cliente17;Antena18;-86
Cliente17;Antena4;-76
Cliente17;Antena6;-72
Cliente17;Antena13;-88
Cliente18;Antena4;-58
Cliente18;Antena17;-75
Cliente19;Antena4;-65
Cliente19;Antena13;-91
Cliente19;Antena17;-78
Cliente20;Antena12;-85
Cliente20;Antena18;-91
Cliente20;Antena4;-64
Cliente20;Antena7;-82
Cliente20;Antena7;-82
Cliente20;Antena17;-80
Cliente21;Antena5;-41
Cliente22;Antena6;-75
Cliente22;Antena12;-67
Cliente22;Antena18;-75
Cliente22;Antena10;-81
Cliente22;Antena7;-76
Cliente22;Antena13;-79
Cliente23;Antena6;-68
Cliente23;Antena12;-61
Cliente23;Antena18;-68
Cliente23;Antena10;-83
Cliente23;Antena7;-74
Cliente23;Antena13;-71
Cliente24;Antena12;-57
Cliente24;Antena18;-63
Cliente24;Antena6;-62
Cliente24;Antena10;-76
Cliente24;Antena7;-64
Cliente24;Antena13;-70
Cliente25;Antena11;-79
Cliente25;Antena12;-55
Cliente25;Antena18;-59
Cliente25;Antena4;-86
Cliente25;Antena6;-62
Cliente25;Antena10;-84
Cliente25;Antena7;-62
Cliente25;Antena13;-68
Cliente26;Antena7;-53
Cliente26;Antena12;-60
Cliente26;Antena18;-59
Cliente26;Antena4;-66
Cliente26;Antena6;-68
Cliente26;Antena10;-62
Cliente26;Antena13;-60
Cliente27;Antena12;-57
Cliente27;Antena18;-57
Cliente27;Antena14;-75
Cliente27;Antena6;-76
Cliente27;Antena7;-58
Cliente27;Antena13;-66
Cliente28;Antena7;-61
Cliente28;Antena1;-76
Cliente28;Antena12;-58
Cliente28;Antena18;-61
Cliente28;Antena6;-69
Cliente28;Antena10;-54
Cliente28;Antena13;-78
Cliente28;Antena3;-78
Cliente29;Antena7;-55
Cliente29;Antena12;-62
Cliente29;Antena18;-64
Cliente29;Antena6;-71
Cliente29;Antena13;-61
Cliente30;Antena12;-61
Cliente30;Antena18;-63
Cliente30;Antena6;-81
Cliente30;Antena7;-63
Cliente30;Antena13;-69
Cliente31;Antena8;-51
Cliente32;Antena9;-75
Cliente32;Antena8;-80
Cliente33;Antena10;-52
Cliente34;Antena11;-64
Cliente35;Antena11;-56
Cliente35;Antena12;-86
Cliente35;Antena18;-82
Cliente36;Antena11;-55
Cliente37;Antena12;-50
Cliente37;Antena11;-80
Cliente37;Antena6;-77
Cliente37;Antena7;-53
Cliente37;Antena13;-63
Cliente38;Antena12;-49
Cliente38;Antena18;-49
Cliente38;Antena6;-60
Cliente38;Antena7;-44
Cliente38;Antena13;-57
Cliente39;Antena12;-74
Cliente40;Antena12;-54
Cliente40;Antena18;-54
Cliente40;Antena6;-80
Cliente40;Antena7;-76
Cliente40;Antena13;-56
Cliente41;Antena12;-63
Cliente41;Antena18;-63
Cliente41;Antena7;-60
Cliente41;Antena13;-68
Cliente42;Antena12;-57
Cliente42;Antena18;-55
Cliente42;Antena14;-89
Cliente42;Antena6;-73
Cliente42;Antena7;-67
Cliente42;Antena13;-50
Cliente43;Antena12;-57
Cliente43;Antena18;-57
Cliente43;Antena14;-75
Cliente43;Antena6;-76
Cliente43;Antena7;-60
Cliente43;Antena13;-66
Cliente44;Antena12;-41
Cliente44;Antena18;-44
Cliente44;Antena6;-70
Cliente44;Antena7;-62
Cliente44;Antena13;-45
Cliente45;Antena13;-70
Cliente45;Antena12;-70
Cliente45;Antena18;-69
Cliente45;Antena14;-83
Cliente45;Antena6;-80
Cliente45;Antena7;-65
Cliente46;Antena12;-84
Cliente46;Antena18;-80
Cliente46;Antena14;-64
Cliente46;Antena13;-85
Cliente47;Antena12;-83
Cliente47;Antena14;-59
Cliente48;Antena12;-82
Cliente48;Antena14;-60
Cliente49;Antena12;-81
Cliente49;Antena18;-75
Cliente49;Antena14;-67
Cliente49;Antena13;-82
Cliente50;Antena14;-48
Cliente50;Antena12;-70
Cliente50;Antena18;-62
Cliente50;Antena13;-80
Cliente51;Antena15;-61
Cliente52;Antena15;-64
Cliente52;Antena12;-74
Cliente52;Antena16;-80
Cliente52;Antena18;-83
Cliente52;Antena8;-88
Cliente52;Antena13;-85
Cliente53;Antena15;-60
Cliente53;Antena16;-78
Cliente54;Antena16;-57
Cliente54;Antena15;-85
Cliente55;Antena16;-75
Cliente55;Antena15;-71
